Product ID,Product Name,Product SKU,Modifier ID,Modifier Name,Modifier Type,Option ID,Option Label,Is Default,Sort Order,Value Data
144,Reading & Maths Essential Skills for Kindergarten Bundle,RE7995RWB,117,Book 1,product_list_with_images,103,Kindergarten Reading Workbook – 240 Essential Reading Skills,Y,0,"{""product_id"": 210}"
144,Reading & Maths Essential Skills for Kindergarten Bundle,RE7995RWB,118,Book 2,product_list_with_images,104,200 Essential Maths Skills for Kindergarten,Y,0,"{""product_id"": 224}"
117,My First Maths and Numbers Activity Books (Ages 4–6),GETREADYPACK2,190,Book 1,product_list_with_images,176,ABC Mathseeds - My First Clocks and Time,Y,0,"{""product_id"": 180}"
117,My First Maths and Numbers Activity Books (Ages 4–6),GETREADYPACK2,191,Book 2,product_list_with_images,177,ABC Mathseeds - My First Numbers,Y,0,"{""product_id"": 186}"
117,My First Maths and Numbers Activity Books (Ages 4–6),GETREADYPACK2,192,Book 3,product_list_with_images,178,ABC Mathseeds - My First Colours and Shapes,Y,0,"{""product_id"": 192}"
117,My First Maths and Numbers Activity Books (Ages 4–6),GETREADYPACK2,193,Book 4,product_list_with_images,179,ABC Mathseeds - My First Add and Subtract,Y,0,"{""product_id"": 198}"
115,My First Reading and Literacy Activity Book Pack (Ages 4–7),GETREADYPACK1,203,Book 1,product_list_with_images,189,ABC Reading Eggs - My First - Alphabet,Y,0,"{""product_id"": 195}"
115,My First Reading and Literacy Activity Book Pack (Ages 4–7),GETREADYPACK1,204,Book 2,product_list_with_images,190,ABC Reading Eggs - My First - Sight Words,Y,0,"{""product_id"": 243}"
115,My First Reading and Literacy Activity Book Pack (Ages 4–7),GETREADYPACK1,205,Book 3,product_list_with_images,191,ABC Reading Eggs - My First - Handwriting,Y,0,"{""product_id"": 244}"
115,My First Reading and Literacy Activity Book Pack (Ages 4–7),GETREADYPACK1,206,Book 4,product_list_with_images,192,ABC Reading Eggs - My First - Phonics,Y,0,"{""product_id"": 166}"
113,ABC Reading Eggs Mega Book Pack (Ages 4–7),139READEGG,119,Book 1,product_list_with_images,105,Starting Out Reading Mini Books – Pack 1 (Ages 4–6),Y,0,"{""product_id"": 277}"
113,ABC Reading Eggs Mega Book Pack (Ages 4–7),139READEGG,120,Book 2,product_list_with_images,106,Starting Out Reading Mini Books – Pack 2 (Ages 4–6),Y,0,"{""product_id"": 278}"
113,ABC Reading Eggs Mega Book Pack (Ages 4–7),139READEGG,121,Book 3,product_list_with_images,107,Starting Out Reading Mini Books – Pack 3 (Ages 4–6),Y,0,"{""product_id"": 279}"
113,ABC Reading Eggs Mega Book Pack (Ages 4–7),139READEGG,122,Book 4,product_list_with_images,108,Starting Out Reading Mini Books – Pack 4 (Ages 4–6),Y,0,"{""product_id"": 280}"
113,ABC Reading Eggs Mega Book Pack (Ages 4–7),139READEGG,123,Book 5,product_list_with_images,109,Learn to Read Activity Book 1 – Starting Out (Ages 4–6),Y,0,"{""product_id"": 281}"
113,ABC Reading Eggs Mega Book Pack (Ages 4–7),139READEGG,124,Book 6,product_list_with_images,110,Learn to Read Activity Book 2 – Starting Out (Ages 4–6),Y,0,"{""product_id"": 282}"
113,ABC Reading Eggs Mega Book Pack (Ages 4–7),139READEGG,125,Book 8,product_list_with_images,111,Learn-to-Read Activity Book 4 – Starting Out (Ages 4–6),Y,0,"{""product_id"": 167}"
113,ABC Reading Eggs Mega Book Pack (Ages 4–7),139READEGG,126,Book 9,product_list_with_images,112,Alphabet Flashcards With Games – Starting Out (Ages 4–6),Y,0,"{""product_id"": 172}"
