Product ID,Product Name,SKU,Type,Brand ID,Condition,Price,Sale Price,Cost Price,Retail Price,Calculated Price,Total Sold,View Count,Inventory Level,Inventory Warning Level,Is Visible,Availability,Weight,Categories,Category IDs,Is Featured,Custom Fields,In AU Storefront,In UK Storefront,In USA Storefront,Assigned Channel IDs,Variant Count,Variant SKUs,Min Variant Price,Max Variant Price,Page Title,Meta Description,Custom URL,Primary Image,Date Created,Date Modified
112,Reading & Maths Essential Skills for Year 2 Family Bundle + FREE Ultimate Rewards Book,RE7995YR2WBURB,physical,0,New,0,,,,,0,0,895,10,False,disabled,2,"Reading,Maths,All Products,By Age,Book Packs,Homeschool,Activity Books,Primary,Primary,Workbook Bundles,Workbooks,Primary (Ages 5–13),Best Sellers,Gift Shop,Sale","24,25,29,30,31,33,34,52,55,64,88,154,175,177,182",False,Bundle: true,Y,N,N,"1,1823086,1835881",1,RE7995YR2WBURB,,,Reading & Maths Essential Skills for Year 2 Family Bundle + FREE Ultimate Rewards Book,"The Year 2 Essential Skills program provides a rigorous 36-week curriculum with easy-to-follow comprehension, spelling and grammar lessons.  The Year 2 Essential Maths Skills program (Australian curriculum) provides fun step-by-step lessons to improve skills in numbers, addition, subtraction, fractions, geometry, measurement and problem solving! Get your copy today!",/reading-maths-essential-skills-for-year-2-family-bundle-free-ultimate-rewards-book/,https://cdn11.bigcommerce.com/s-sojvds60em/products/112/images/391/RE7995YR2WBURB-year-2-reading-maths-workbooks-rewards-bundle_1__99901.1736982601.220.290.jpg?c=1,23/12/2024,23/03/2026
113,ABC Reading Eggs Mega Book Pack (Ages 4–7),139READEGG,physical,38,New,0,,,,,1261,0,328,100,True,available,1,"Reading,28,All Products,By Age,Book Packs,Homeschool,Activity Books,35,37,38,39,41,Preschool,Kindergarten,Primary,Preschoolers (Ages 3–4),Education Gifts for 3 Year Olds,Activity Book Sets,Mini Book Packs,89,90,91,100,101,138,Kindergarten (Ages 5–6),Primary (Ages 5–13),155,156,157,Best Sellers,Gift Shop,178,181,Sale,183","24,28,29,30,31,33,34,35,37,38,39,41,50,51,52,59,61,62,63,89,90,91,100,101,138,143,154,155,156,157,175,177,178,181,182,183",True,"Bundle: true | Inventory: {au:0,uk:347} | Vimeo Video Id: 1087649027 | Short Description: Our best selling Mega Book Pack includes 8 activity books, 80 readers, flashcards, 400 stickers and posters. Designed to match the first 80 Reading Eggs lessons, it builds reading, phonics and writing skills at home while keeping kids motivated",Y,Y,N,"1692461,1,1823086,1835881,1837898",1,139READEGG,,,Mega Reading Book Pack – Learn-to-Read Bundle | Ages 4–7,"Discover the best learn-to-read book bundle for kids. Includes activity books, reading books, alphabet and word flashcards, games, stickers and posters.",/reading-eggs-mega-book-pack/,https://cdn11.bigcommerce.com/s-sojvds60em/products/113/images/675/139READEGG-learn-to-read-activity-books-flashcards-mega-pack_1_LR__90160.1738028416.220.290.jpg?c=1,22/01/2025,15/05/2026
114,Learn-to-Read Activity Book 3 – Starting Out (Ages 4–6),9781742150475,physical,38,New,0,,,,,3586,0,31,25,True,available,0.28,"Reading,28,All Products,By Age,Activity Books,35,37,39,42,43,45,47,Preschool,Kindergarten,Primary,Preschoolers (Ages 3–4),89,90,91,110,111,112,118,Kindergarten (Ages 5–6),Primary (Ages 5–13),155,156,157,158,159,Best Sellers,Gift Shop,178,179,Sale,183,184","24,28,29,30,34,35,37,39,42,43,45,47,50,51,52,59,89,90,91,110,111,112,118,143,154,155,156,157,158,159,175,177,178,179,182,183,184",False,"Inventory: {au:742,us:32,uk:808,sb:12} | Vimeo Video Id: 1087648613 | Short Description: Reading Eggs Activity Book 3 is full of fun activities that build early reading skills. Kids learn letters, sounds, phonics, handwriting and simple words in an easy step by step way. Can be used on its own or alongside the Reading Eggs program.",Y,Y,Y,"1,1692461,1692941,1823086,1835881,1837891,1837898,1837908",1,9781742150475,,,Learn-to-Read Activity Book 3 – Starting Out | Ages 4–6,"Activity Book 3 is full of hands-on, learn-to-read activities to help your child recognise and write letters and start reading words and simple sentences.",/reading-eggs-starting-out-activity-book-3/,https://cdn11.bigcommerce.com/s-sojvds60em/products/114/images/1635/9781742150475-learn-to-read-activity-book-3_2__34701.1740363140.220.290.png?c=1,22/01/2025,15/05/2026
115,My First Reading and Literacy Activity Book Pack (Ages 4–7),GETREADYPACK1,physical,38,New,0,,,,,247,0,1042,0,True,available,1,"Reading,All Products,By Age,Book Packs,Activity Books,Preschool,Kindergarten,Primary,Preschoolers (Ages 3–4),Education Gifts for 3 Year Olds,Activity Book Sets,Kindergarten (Ages 5–6),Primary (Ages 5–13),Best Sellers,Gift Shop,Sale","24,29,30,31,34,50,51,52,59,61,62,143,154,175,177,182",False,"Bundle: true | Inventory: {au:391} | Vimeo Video Id: 1087646925 | Short Description: Give your child a strong start in reading with the Reading Eggs My First Activity Book Pack! Four fun workbooks build skills in phonics, alphabet, handwriting and sight words. Colorful activities boost confidence and make learning fun at home.",Y,N,N,"1,1823086,1835881",1,GETREADYPACK1,,,My First Reading and Literacy Activity Book Pack (Ages 4–7),The ABC Reading Eggs My First Activity Book Pack focuses on early literacy and reading skills that children need to become good readers and writers. Suitable for ages 4–7.,/abc-reading-eggs-my-first-activity-book-pack/,https://cdn11.bigcommerce.com/s-sojvds60em/products/115/images/938/GETREADYPACK1-reading-activity-book-pack-preschool-kindergarten_1_LR__13855.1738552562.220.290.jpg?c=1,22/01/2025,14/05/2026
116,Reading Eggs Book Pack Level 2 (Ages 5–7),RE7995PK2,physical,38,New,0,,,,,346,0,330,0,True,available,1,"Reading,28,All Products,By Age,Book Packs,Homeschool,Activity Books,35,37,38,39,41,42,43,45,46,47,49,Kindergarten,Primary,Activity Book Sets,Mini Book Packs,90,91,100,101,111,112,118,125,126,Kindergarten (Ages 5–6),Primary (Ages 5–13),156,157,159,Best Sellers,Gift Shop,178,179,181,Sale,183,184","24,28,29,30,31,33,34,35,37,38,39,41,42,43,45,46,47,49,51,52,62,63,90,91,100,101,111,112,118,125,126,143,154,156,157,159,175,177,178,179,181,182,183,184",False,"Bundle: true | Inventory: {au:177,us:0,uk:347,sb:0} | Vimeo Video Id: 1087648355 | Short Description: Support your child’s reading journey with the Reading Eggs Level 2 Book Pack! Includes 4 activity books, 40 readers, flashcards, 200 stickers and posters. A fun way to build phonics, reading and writing skills at home while boosting confidence.",Y,Y,N,"1,1692461,1835881,1837898",1,RE7995PK2,,,Level 2 Reading Book Set – Learn-to-Read Books | Ages 5–7,"The Level 2 Reading Book Set for kids includes learn-to-read activity books, reading books, word flashcards, games, stickers and posters.",/reading-eggs-book-pack-level-2/,https://cdn11.bigcommerce.com/s-sojvds60em/products/116/images/2252/RE7995PK2-learn-to-read-activity-books-flashcards-pack-2_1_1__71827.1747355052.220.290.jpg?c=1,22/01/2025,14/05/2026
117,My First Maths and Numbers Activity Books (Ages 4–6),GETREADYPACK2,physical,39,New,0,,,,,101,0,1128,0,True,available,1,"Maths,All Products,By Age,Preschool,Kindergarten,Primary,Best Sellers,Gift Shop,Sale","25,29,30,53,54,55,175,177,182",False,"Bundle: true | Inventory: {au:0} | Vimeo Video Id: 1087646691 | Short Description: Build your child’s early maths confidence with the Mathseeds My First Activity Book Pack! Four fun workbooks cover numbers, time, shapes, colours and addition. Bright activities make learning problem solving skills easy and enjoyable at home.",Y,N,N,"1,1823086,1835881",1,GETREADYPACK2,,,My First Maths and Numbers Activity Books (Ages 4–6),"The ABC Mathseeds My First activity books focuses on introducing children to early maths concepts such as time, numbers, addition, shapes and colours. Suitable for ages 4–6.",/abc-mathseeds-my-first-activity-books/,https://cdn11.bigcommerce.com/s-sojvds60em/products/117/images/908/GETREADYPACK2-maths-activity-book-pack-preschool-kindergarten_1_LR__03468.1738549585.220.290.jpg?c=1,22/01/2025,07/05/2026
118,ABC Reading Eggs 12 Month Subscription,ABCRE12MTH,digital,39,New,167.99,109.99,,109.99,109.99,0,0,0,0,False,available,0,"Reading,All Products,By Age,ABC Reading Eggs,Best Sellers,Gift Shop,Sale","24,29,30,70,175,177,182",True,"Inventory: {sb:0,us:0}",Y,N,N,"1,1823086,1835881",1,ABCRE12MTH,167.99,167.99,ABC Reading Eggs 12 Month Subscription | Reading Eggs Shop,Subscribe your child to 12 months of learning with ABC Reading Eggs - the multi-award winning online reading program for kids aged 2–13.,/abc-reading-eggs-12-month-subscription/,,22/01/2025,14/05/2026
123,ABC Reading Eggs Teaching Guide Book 1 – Lessons 1–30,9781760200848,physical,38,New,29.95,29.95,,29.95,29.95,138,0,1323,0,True,available,0.1,"Reading,All Products,By Age,Homeschool,Preschool,Kindergarten,Primary,Preschoolers (Ages 3–4),Teaching Guides,Kindergarten (Ages 5–6),Primary (Ages 5–13),Best Sellers,Gift Shop,Sale","24,29,30,33,50,51,52,59,87,143,154,175,177,182",False,"Inventory: {au:1186} | Short Description: ABC Reading Eggs Teaching Guide Book 1 supports lessons 1-30 with teaching notes, objectives, activities and worksheets. Covers phonics, phonemic awareness, sight words, vocabulary and comprehension to help parents teach reading with confidence.",Y,N,N,"1,1823086,1835881",1,9781760200848,29.95,29.95,ABC Reading Eggs Teaching Guide Book 1 – Lessons 1–30,"The ABC Reading Eggs online program combines a progressive sequence of highly-instructional learning activities with motivational elements – colourful animations, fun music, and exciting rewards – that keep kids motivated to learn.",/abc-reading-eggs-teaching-guide-book-1/,https://cdn11.bigcommerce.com/s-sojvds60em/products/123/images/1633/9781760200848-reading-eggs-lessons-teaching-guide-book-1_2__30665.1740363107.220.290.png?c=1,22/01/2025,14/05/2026
128,The Eggsperts Sticker Activity Book Pack (Ages 3–5),EGGSPERTSBKPACK,physical,38,New,0,,,,,352,0,241,0,True,available,1,"Reading,All Products,By Age,Book Packs,Activity Books,Preschool,Kindergarten,Primary,Preschoolers (Ages 3–4),Toddlers (Ages 2–3),Education Gifts for 3 Year Olds,Activity Book Sets,Sticker Books,Kindergarten (Ages 5–6),Primary (Ages 5–13),Best Sellers,Gift Shop,Sale","24,29,30,31,34,50,51,52,59,60,61,62,84,143,154,175,177,182",False,"Bundle: true | Inventory: {au:116} | Short Description: Make early learning fun with the Eggsperts Activity Sticker Books pack! Four colorful books for ages 3-5 build phonics, sounds, rhymes and word play through engaging sticker activities. A playful way to boost early reading confidence at home.",Y,N,N,"1,1823086,1835881",1,EGGSPERTSBKPACK,,,The Eggsperts Sticker Activity Book Pack (Ages 3–5),The Eggsperts Sticker Activity Books are a fun way for 3 to 5 year olds to learn early reading and phonics skills.,/the-eggsperts-book-pack/,https://cdn11.bigcommerce.com/s-sojvds60em/products/128/images/899/EGGSPERTSBKPACK-eggsperts-kids-sticker-activity-books_1_LR__51059.1738547384.220.290.jpg?c=1,22/01/2025,15/05/2026
139,ABC Mathseeds Book Pack (Ages 3–5),MSMEGAPACK,physical,39,New,0,,,,,303,0,100,0,True,available,1,"Maths,All Products,By Age,Book Packs,Activity Books,Preschool,Kindergarten,Primary,Preschoolers (Ages 3–4),Education Gifts for 3 Year Olds,Activity Book Sets,Kindergarten (Ages 5–6),Primary (Ages 5–13),Best Sellers,Gift Shop,Sale","25,29,30,31,34,53,54,55,59,61,62,143,154,175,177,182",True,"Bundle: true | Inventory: {au:0} | Short Description: Make maths fun with the ABC Mathseeds Activity Book Pack! Four workbooks, posters and game flashcards help kids build skills in numbers, shapes, patterns and more. A perfect companion to the online program or a standalone way to boost confidence.",Y,N,N,"1,1823086,1835881",1,MSMEGAPACK,,,ABC Mathseeds Book Pack makes learning maths fun | Reading Eggs Shop,The ABC Mathseeds Book Pack contains activity books matching the first 40 lessons of Mathseeds.,/abc-mathseeds-book-pack/,https://cdn11.bigcommerce.com/s-sojvds60em/products/139/images/2492/MSMEGAPACK-maths-activity-book-pack-flashcards-stickers-posters_1__23023.1750126748.220.290.jpg?c=1,22/01/2025,14/05/2026
