order_num,order_date,attribution,subtotal,total_ol_discount,discounts,shipping,tax,total
224669,2026-05-11,Search,136.35,0,0,0,13.64,149.99
224668,2026-05-11,Adwords,45.36,0,0,9.05,5.44,59.85
224666,2026-05-11,Adwords,45.36,0,0,9.05,5.44,59.85
224664,2026-05-11,"Campaign (UTM)",9.79,9.79,0,0,0,0
224662,2026-05-11,Adwords,9.05,0,0,9.05,1.8,19.9
224661,2026-05-11,Direct,96.1,0,0,0,9.6,105.7
224660,2026-05-11,"Campaign (UTM)",8.51,8.51,0,0,0,0
224659,2026-05-11,"Campaign (UTM)",8.51,8.51,0,0,0,0
224658,2026-05-11,"Campaign (UTM)",8.51,8.51,0,0,0,0
224657,2026-05-11,"Campaign (UTM)",8.51,8.51,0,0,0,0
224656,2026-05-11,"Campaign (UTM)",8.51,8.51,0,0,0,0
224655,2026-05-11,"Campaign (UTM)",27.23,0,0,9.05,3.62,39.9
224654,2026-05-10,Direct,9.79,9.79,0,0,0,0
224653,2026-05-10,"Campaign (UTM)",28.27,0,0,8.65,0,36.91
224652,2026-05-10,Adwords,18.08,0,5,9.05,2.26,24.85
224651,2026-05-10,Search,178.89,0,0,0,17.91,196.8
224650,2026-05-10,"Campaign (UTM)",47.08,0,0,10.26,0,57.35
224649,2026-05-10,Adwords,9.05,0,0,9.05,1.8,19.9
224648,2026-05-10,"Campaign (UTM)",9.79,9.79,0,0,0,0
224647,2026-05-10,"Campaign (UTM)",147.85,0,0,0,14.8,162.65
224646,2026-05-10,"Campaign (UTM)",19.9,0,0,9.05,2.9,31.85
224645,2026-05-10,Referrer,28.27,0,0,8.65,0,36.91
224644,2026-05-10,"Campaign (UTM)",8.51,8.51,0,0,0,0
224643,2026-05-10,Direct,99.77,0,5.49,0,9.48,104.26
224641,2026-05-10,Direct,245.67,0,0,0,24.58,270.25
224640,2026-05-10,Adwords,20.81,0,5,9.05,2.53,27.85
224639,2026-05-10,Adwords,9.05,0,0,9.05,1.8,19.9
224638,2026-05-10,"Campaign (UTM)",9.79,9.79,0,0,0,0
224637,2026-05-10,Social,45.36,0,0,9.05,5.44,59.85
224636,2026-05-10,Adwords,106.26,0,9.45,0,0,96.8
224635,2026-05-10,"Campaign (UTM)",65.68,0,0,0,4.61,70.28
224634,2026-05-10,"Campaign (UTM)",162.63,0,0,0,16.27,178.9
224633,2026-05-10,Referrer,84.37,0,0,9.79,0,94.15
224632,2026-05-10,"Campaign (UTM)",27.23,0,0,9.05,3.62,39.9
224631,2026-05-10,Adwords,54.41,0,0,9.05,6.34,69.8
224630,2026-05-10,"Campaign (UTM)",131.35,0,0,0,9.21,140.56
224629,2026-05-10,Direct,45.36,0,0,9.05,5.44,59.85
224628,2026-05-10,"Campaign (UTM)",47.13,0,0,9.05,5.62,61.8
224627,2026-05-10,"Campaign (UTM)",18.03,0,0,0,1.55,19.58
224626,2026-05-10,Direct,123.26,8.51,0,0,0,114.75
224625,2026-05-10,Adwords,117.27,0,0,0,11.73,129
224624,2026-05-10,"Campaign (UTM)",140.56,0,0,0,0,140.56
224623,2026-05-10,Adwords,27.23,0,0,9.05,3.62,39.9
224622,2026-05-10,Search,56.53,0,0,10.26,0,66.8
224621,2026-05-10,"Campaign (UTM)",47.08,0,0,10.26,0,57.35
224620,2026-05-10,Adwords,27.23,0,0,9.05,3.62,39.9
224619,2026-05-10,"Campaign (UTM)",28.27,0,9.45,8.65,0,27.45
224618,2026-05-10,"Campaign (UTM)",140.56,0,0,0,0,140.56
224617,2026-05-10,Search,47.08,0,9.45,10.26,0,47.89
224616,2026-05-10,"Campaign (UTM)",94.16,0,0,10.26,0,104.42
224615,2026-05-10,"Campaign (UTM)",9.79,9.79,0,0,0,0
224614,2026-05-10,Adwords,101.68,0,0,0,10.18,111.86
224613,2026-05-09,Adwords,45.25,0,0,9.05,5.4,59.7
224612,2026-05-09,Adwords,47.08,0,9.45,10.26,0,47.89
224611,2026-05-09,Direct,55.45,0,0,9.05,6.45,70.95
224610,2026-05-09,Direct,11.77,0,0,9.05,2.08,22.9
224609,2026-05-09,Search,72.56,0,0,9.05,8.14,89.75
224608,2026-05-09,Adwords,9.95,0,0,9.05,1.9,20.9
224607,2026-05-09,"Campaign (UTM)",117.27,0,0,0,11.73,129
224602,2026-05-09,"Campaign (UTM)",27.23,0,0,9.05,3.62,39.9
224601,2026-05-09,Adwords,39.83,0,5,9.05,4.42,48.75
224600,2026-05-09,Direct,9.79,9.79,0,0,0,0
224599,2026-05-09,"Campaign (UTM)",112.46,0,0,0,0,112.46
224598,2026-05-09,"Campaign (UTM)",47.09,0,0,0,4.71,51.8
224597,2026-05-09,Direct,140.83,0,0,0,0,140.83
224596,2026-05-09,Direct,79.21,0,0,0,5.15,84.37
224595,2026-05-09,Direct,79.21,0,0,0,5.15,84.37
224594,2026-05-09,Direct,140.83,0,0,0,0,140.83
224593,2026-05-09,Direct,281.66,0,0,0,0,281.66
224592,2026-05-09,Direct,78.85,0,0,0,5.52,84.37
224591,2026-05-09,Direct,394.24,0,0,0,27.59,421.83
224590,2026-05-09,"Campaign (UTM)",8.51,8.51,0,0,0,0
224589,2026-05-09,Search,28.09,0,0,9.05,3.71,40.85
224588,2026-05-09,Adwords,43.5,0,0,9.05,5.25,57.8
224587,2026-05-08,Adwords,105.22,0,0,0,10.53,115.75
224586,2026-05-08,Adwords,79.72,0,0,9.05,8.88,97.65
224585,2026-05-08,"Campaign (UTM)",41.19,0,0,21.06,0,62.25
224584,2026-05-08,Adwords,41.64,0,0,9.05,5.06,55.75
224583,2026-05-08,Referrer,144.41,0,0,0,14.44,158.85
224582,2026-05-08,Direct,78.48,0,0,0,5.89,84.37
224581,2026-05-08,Direct,198.31,0,0,0,12.89,211.2
224580,2026-05-08,Direct,197.38,0,0,0,13.82,211.2
224579,2026-05-08,Direct,78.85,0,0,0,5.52,84.37
224578,2026-05-08,Direct,140.83,0,0,0,0,140.83
224577,2026-05-08,Direct,421.13,0,0,0,0,421.13
224576,2026-05-08,Direct,162.64,0,8.95,0,15.45,169.95
224575,2026-05-08,"Campaign (UTM)",66.19,0,5,9.05,7.06,77.75
224574,2026-05-08,Direct,90.73,0,0,9.05,9.97,109.75
224573,2026-05-08,"Campaign (UTM)",59.86,0,0,9.05,6.89,75.8
224572,2026-05-08,Direct,96.06,0,0,0,9.59,105.65
224571,2026-05-08,Adwords,90.72,0,0,9.05,9.98,109.75
224570,2026-05-08,"Campaign (UTM)",65.89,0,0,10.26,0,76.16
224569,2026-05-08,"Campaign (UTM)",45.36,0,0,9.05,5.44,59.85
224568,2026-05-08,Referrer,154.18,0,0,0,15.42,169.6
224567,2026-05-08,Direct,136.1,0,5,0,13.15,144.7
224566,2026-05-08,Adwords,36.28,0,0,9.05,4.52,49.85
224565,2026-05-08,Direct,47.08,0,2.59,9.05,5.38,59.16
224564,2026-05-08,Direct,54.46,0,0,9.05,6.34,69.85
224563,2026-05-08,Adwords,27.23,0,0,9.05,3.62,39.9
224562,2026-05-08,"Campaign (UTM)",9.79,9.79,0,0,0,0
224561,2026-05-08,Direct,249.63,0,0,0,24.97,274.6
224560,2026-05-08,Adwords,117.27,0,0,0,11.73,129
224559,2026-05-08,Direct,115.19,0,0,0,11.51,126.7
224558,2026-05-08,Direct,394.24,0,0,0,27.59,421.83
224557,2026-05-08,"Campaign (UTM)",8.51,8.51,0,0,0,0
224556,2026-05-08,Direct,281.66,0,0,0,0,281.66
224555,2026-05-08,Direct,394.24,0,0,0,27.59,421.83
224554,2026-05-08,Direct,79.21,0,0,0,5.15,84.37
224553,2026-05-08,Adwords,41.64,0,0,9.05,5.06,55.75
224552,2026-05-08,Direct,281.66,0,0,0,0,281.66
224551,2026-05-08,"Campaign (UTM)",9.79,9.79,0,0,0,0
224550,2026-05-08,Direct,78.85,0,0,0,5.52,84.37
224549,2026-05-08,Direct,140.83,0,0,0,0,140.83
224548,2026-05-08,Adwords,45.37,0,5,9.05,4.98,54.85
224546,2026-05-08,Direct,78.48,0,0,0,5.89,84.37
224545,2026-05-08,Direct,78.85,0,0,0,5.52,84.37
224544,2026-05-08,Direct,78.48,0,0,0,5.89,84.37
224543,2026-05-08,Direct,431.9,0,0,0,32.39,464.3
224542,2026-05-08,Direct,842.25,0,0,0,0,842.25
224541,2026-05-08,Direct,421.13,0,0,0,0,421.13
