Subscriber ID,Date Created,Date Modified,Channel ID,Source,Order Count
1,26/05/2025,29/01/2026,1,storefront,0
2,10/02/2025,10/02/2025,1,storefront,0
3,26/03/2025,26/08/2025,1,Unknown,0
4,13/02/2025,13/02/2025,1,Unknown,0
5,18/02/2025,18/02/2025,1692461,Unknown,0
6,18/02/2025,18/02/2025,1692941,Unknown,0
7,16/04/2025,10/11/2025,1,Unknown,0
8,06/05/2025,26/08/2025,1,Unknown,0
9,23/05/2025,08/12/2025,1,Unknown,0
10,23/04/2025,02/02/2026,1,Unknown,0
11,29/04/2025,26/08/2025,1692461,Unknown,0
12,30/07/2025,01/04/2026,1692941,Unknown,0
13,17/03/2025,17/03/2025,1,Unknown,0
14,18/03/2025,26/08/2025,1692461,Unknown,0
15,18/03/2025,26/08/2025,1,Unknown,0
16,18/03/2025,18/03/2025,1,Unknown,0
17,18/03/2025,18/03/2025,1,Unknown,0
18,19/03/2025,19/03/2025,1,Unknown,0
19,11/06/2025,18/05/2026,1692941,Unknown,0
20,27/03/2025,26/08/2025,1692461,Unknown,0
21,20/03/2025,20/03/2025,1692461,Unknown,0
22,03/04/2025,26/08/2025,1692941,Unknown,0
23,01/04/2025,26/08/2025,1692941,storefront,0
24,24/03/2025,26/08/2025,1,Unknown,0
25,24/03/2025,26/08/2025,1,Unknown,0
26,24/03/2025,26/08/2025,1692461,Unknown,0
27,24/03/2025,26/08/2025,1692461,Unknown,0
28,24/03/2025,24/03/2025,1692941,Unknown,0
29,26/03/2025,02/09/2025,1692941,Unknown,0
30,24/03/2025,02/09/2025,1692941,Unknown,0
31,25/03/2025,02/09/2025,1692461,Unknown,0
32,26/03/2025,26/03/2025,1692941,Unknown,0
33,04/04/2025,02/09/2025,1,Unknown,0
34,26/03/2025,02/09/2025,1692941,storefront,0
35,26/03/2025,26/03/2025,1,Unknown,0
36,27/03/2025,02/09/2025,1,Unknown,0
37,26/03/2025,26/03/2025,1,Unknown,0
38,26/03/2025,26/03/2025,1,Unknown,0
39,26/03/2025,26/03/2025,1,Unknown,0
40,26/03/2025,26/03/2025,1,Unknown,0
41,26/03/2025,26/03/2025,1692941,Unknown,0
42,26/03/2025,26/03/2025,1,Unknown,0
43,26/03/2025,02/09/2025,1692461,storefront,0
44,26/03/2025,26/03/2025,1692461,Unknown,0
45,26/03/2025,26/03/2025,1,Unknown,0
46,26/03/2025,24/09/2025,1,Unknown,0
47,27/03/2025,27/03/2025,1692941,Unknown,0
48,11/04/2025,02/09/2025,1692941,Unknown,0
49,27/03/2025,27/03/2025,1692941,Unknown,0
50,18/04/2025,31/01/2026,1692941,Unknown,0
51,27/03/2025,27/03/2025,1692941,Unknown,0
52,27/03/2025,02/09/2025,1692461,Unknown,0
53,27/03/2025,27/03/2025,1,Unknown,0
54,27/03/2025,27/03/2025,1,Unknown,0
55,27/03/2025,12/11/2025,1,Unknown,0
56,27/03/2025,27/03/2025,1692941,Unknown,0
57,27/03/2025,27/03/2025,1692941,Unknown,0
58,27/03/2025,27/03/2025,1,Unknown,0
59,27/03/2025,27/03/2025,1,Unknown,0
60,27/03/2025,27/03/2025,1,Unknown,0
61,27/03/2025,27/03/2025,1,Unknown,0
62,27/03/2025,27/03/2025,1,Unknown,0
63,27/03/2025,27/03/2025,1,Unknown,0
64,27/03/2025,27/03/2025,1,Unknown,0
65,27/03/2025,27/03/2025,1,Unknown,0
66,27/03/2025,27/03/2025,1,Unknown,0
67,27/03/2025,27/03/2025,1,Unknown,0
68,27/03/2025,27/03/2025,1,Unknown,0
69,27/03/2025,06/01/2026,1,Unknown,0
70,27/03/2025,27/03/2025,1,Unknown,0
71,27/03/2025,27/03/2025,1,Unknown,0
72,27/03/2025,27/03/2025,1,Unknown,0
73,27/03/2025,27/03/2025,1692941,Unknown,0
74,27/03/2025,27/03/2025,1,Unknown,0
75,27/03/2025,27/03/2025,1,storefront,0
76,27/03/2025,27/03/2025,1,Unknown,0
77,27/03/2025,27/03/2025,1,Unknown,0
78,27/03/2025,27/03/2025,1692461,Unknown,0
79,27/03/2025,02/09/2025,1,Unknown,0
80,27/03/2025,27/03/2025,1692941,Unknown,0
81,27/03/2025,27/03/2025,1,Unknown,0
82,27/03/2025,02/09/2025,1,Unknown,0
83,28/03/2025,28/03/2025,1692461,Unknown,0
84,28/03/2025,28/03/2025,1692461,Unknown,0
85,28/03/2025,02/09/2025,1692461,Unknown,0
86,28/03/2025,28/03/2025,1,Unknown,0
87,28/03/2025,28/03/2025,1,Unknown,0
88,28/03/2025,28/03/2025,1,storefront,0
89,04/04/2025,02/09/2025,1692461,Unknown,0
90,28/03/2025,28/03/2025,1,Unknown,0
91,28/03/2025,28/03/2025,1,Unknown,0
92,28/03/2025,28/03/2025,1,Unknown,0
93,28/03/2025,02/09/2025,1,Unknown,0
94,12/04/2025,02/09/2025,1,Unknown,0
95,28/03/2025,28/03/2025,1,storefront,0
96,28/03/2025,28/03/2025,1,Unknown,0
97,28/03/2025,28/03/2025,1,storefront,0
98,28/03/2025,28/03/2025,1,Unknown,0
99,28/03/2025,31/01/2026,1692941,Unknown,0
100,28/03/2025,28/03/2025,1,Unknown,0
101,28/03/2025,28/03/2025,1692941,Unknown,0
102,28/03/2025,28/03/2025,1692941,storefront,0
103,28/03/2025,28/03/2025,1,Unknown,0
104,28/03/2025,28/03/2025,1,Unknown,0
105,28/03/2025,28/03/2025,1,Unknown,0
106,28/03/2025,28/03/2025,1692941,Unknown,0
107,28/03/2025,28/03/2025,1,Unknown,0
108,28/03/2025,01/12/2025,1,Unknown,0
109,28/03/2025,28/03/2025,1,Unknown,0
110,28/03/2025,02/09/2025,1,Unknown,0
111,28/03/2025,28/03/2025,1,Unknown,0
112,28/03/2025,28/03/2025,1692941,Unknown,0
113,28/03/2025,28/03/2025,1,storefront,0
114,28/03/2025,28/03/2025,1692941,storefront,0
115,28/03/2025,28/03/2025,1692941,Unknown,0
116,28/03/2025,28/03/2025,1692941,Unknown,0
117,14/05/2025,02/09/2025,1692941,Unknown,0
118,28/03/2025,28/03/2025,1692941,Unknown,0
119,29/03/2025,29/03/2025,1692941,Unknown,0
120,29/03/2025,29/03/2025,1,Unknown,0
121,10/07/2025,03/10/2025,1692941,Unknown,0
122,29/03/2025,29/03/2025,1692941,Unknown,0
123,29/03/2025,29/03/2025,1692941,Unknown,0
124,29/03/2025,29/03/2025,1692941,Unknown,0
125,23/08/2025,30/01/2026,1692941,Unknown,0
126,29/03/2025,11/11/2025,1692941,Unknown,0
127,29/03/2025,02/09/2025,1692941,Unknown,0
128,29/03/2025,29/03/2025,1,Unknown,0
129,29/03/2025,29/03/2025,1692941,Unknown,0
130,29/03/2025,29/03/2025,1692941,storefront,0
131,29/03/2025,29/03/2025,1692941,Unknown,0
132,29/03/2025,29/03/2025,1,Unknown,0
133,29/03/2025,29/03/2025,1,Unknown,0
134,29/03/2025,29/03/2025,1,Unknown,0
135,29/03/2025,29/03/2025,1,Unknown,0
136,29/03/2025,29/03/2025,1,Unknown,0
137,29/03/2025,29/03/2025,1692941,storefront,0
138,29/03/2025,29/03/2025,1,Unknown,0
139,29/03/2025,29/03/2025,1,Unknown,0
140,29/03/2025,29/03/2025,1692941,Unknown,0
141,29/03/2025,29/03/2025,1,Unknown,0
142,29/03/2025,29/03/2025,1,Unknown,0
143,29/03/2025,29/03/2025,1,Unknown,0
144,29/03/2025,29/03/2025,1,Unknown,0
145,29/03/2025,29/03/2025,1,Unknown,0
146,29/03/2025,29/03/2025,1,Unknown,0
147,29/03/2025,29/03/2025,1692941,storefront,0
148,29/03/2025,29/03/2025,1,Unknown,0
149,29/03/2025,29/03/2025,1692941,Unknown,0
150,29/03/2025,29/03/2025,1692941,Unknown,0
151,29/03/2025,29/03/2025,1692941,Unknown,0
152,29/03/2025,29/03/2025,1,Unknown,0
153,29/03/2025,31/01/2026,1692941,Unknown,0
154,29/03/2025,29/03/2025,1,Unknown,0
155,29/03/2025,29/03/2025,1692461,storefront,0
156,29/03/2025,29/03/2025,1692461,Unknown,0
157,29/03/2025,29/03/2025,1,Unknown,0
158,29/03/2025,02/09/2025,1692941,storefront,0
159,29/03/2025,29/03/2025,1,Unknown,0
160,30/03/2025,30/03/2025,1,Unknown,0
161,30/03/2025,30/03/2025,1,Unknown,0
162,30/03/2025,30/03/2025,1692941,storefront,0
163,30/03/2025,30/03/2025,1692941,Unknown,0
164,30/03/2025,30/03/2025,1692941,Unknown,0
165,30/03/2025,30/03/2025,1,Unknown,0
166,30/03/2025,30/03/2025,1,Unknown,0
167,30/03/2025,30/03/2025,1,Unknown,0
168,06/04/2025,02/09/2025,1,Unknown,0
169,30/03/2025,30/03/2025,1,storefront,0
